id,sex,age,edu,drink
5574,female,65-74,bachelor's degree ,once a week
5575,male,75&over,high school diploma,2-3 times a week
5576,male,15-24,high school diploma,never drink
5577,male,65-74,less than high school diploma,never drink
5578,male,65-74,bachelor's degree ,not in the past month
5579,female,35-44,bachelor's degree ,not in the past month
5580,female,25-34,less than high school diploma,everyday
5581,female,65-74,bachelor's degree ,2-3 times a week
5582,male,25-34,university diploma above bachelor's degree,never drink
5583,female,65-74,college diploma,once a week
5584,female,65-74,less than high school diploma,once a week
5585,male,25-34,high school diploma,once or twice in the past month
5586,female,65-74,college diploma,never drink
5587,female,55-64,high school diploma,everyday
5588,female,35-44,university diploma above bachelor's degree,once a week
5589,female,75&over,less than high school diploma,once or twice in the past month
5590,female,55-64,bachelor's degree ,2-3 times a week
5591,male,15-24,bachelor's degree ,not in the past month
5592,male,35-44,university diploma below bachelor's degree,once or twice in the past month
5593,female,45-54,college diploma,once or twice in the past month
5594,male,45-54,high school diploma,never drink
5595,female,35-44,university diploma above bachelor's degree,once a week
5596,male,45-54,college diploma,2-3 times a week
5597,male,65-74,less than high school diploma,once a week
5598,female,55-64,high school diploma,2-3 times a week
5599,female,65-74,high school diploma,not in the past month
5600,female,75&over,high school diploma,once or twice in the past month
5601,female,35-44,university diploma above bachelor's degree,4-6 times a week
5602,female,35-44,university diploma above bachelor's degree,4-6 times a week
5603,female,75&over,university diploma below bachelor's degree,4-6 times a week
5604,female,65-74,high school diploma,never drink
5605,female,15-24,less than high school diploma,not in the past month
5606,male,65-74,less than high school diploma,not in the past month
5607,female,45-54,high school diploma,2-3 times a week
5608,male,45-54,trade certificate,everyday
5609,male,35-44,college diploma,once or twice in the past month
5610,male,65-74,high school diploma,not in the past month
5611,male,65-74,less than high school diploma,never drink
5612,female,45-54,less than high school diploma,never drink
5613,male,55-64,bachelor's degree ,2-3 times a week
5614,female,65-74,bachelor's degree ,never drink
5615,male,75&over,high school diploma,4-6 times a week
5616,female,45-54,college diploma,not in the past month
5617,female,25-34,trade certificate,never drink
5618,female,45-54,high school diploma,once or twice in the past month
5619,male,65-74,high school diploma,4-6 times a week
5620,female,25-34,bachelor's degree ,once a week
5621,female,65-74,trade certificate,once or twice in the past month
5622,female,25-34,university diploma above bachelor's degree,not in the past month
5623,female,25-34,trade certificate,once a week
5624,male,35-44,trade certificate,2-3 times a week
5625,female,35-44,high school diploma,everyday
5626,male,65-74,university diploma above bachelor's degree,once or twice in the past month
5627,male,65-74,bachelor's degree ,once or twice in the past month
5628,female,65-74,university diploma below bachelor's degree,2-3 times a week
5629,male,55-64,trade certificate,once a week
5630,female,65-74,high school diploma,4-6 times a week
5631,male,25-34,trade certificate,once a week
5632,male,45-54,bachelor's degree ,not in the past month
5633,female,45-54,university diploma above bachelor's degree,once a week
5634,female,45-54,bachelor's degree ,once or twice in the past month
5635,male,65-74,less than high school diploma,never drink
5636,male,45-54,high school diploma,2-3 times a week
5637,female,45-54,college diploma,2-3 times a week
5638,male,65-74,college diploma,once a week
5639,male,25-34,bachelor's degree ,once a week
5640,female,25-34,bachelor's degree ,once a week
5641,female,55-64,university diploma below bachelor's degree,everyday
5642,female,45-54,high school diploma,not in the past month
5643,female,65-74,college diploma,never drink
5644,male,35-44,high school diploma,once or twice in the past month
5645,female,55-64,bachelor's degree ,2-3 times a week
5646,female,45-54,college diploma,once or twice in the past month
5647,female,65-74,high school diploma,once a week
5648,female,15-24,bachelor's degree ,once a week
5649,male,25-34,college diploma,once a week
5650,female,75&over,high school diploma,2-3 times a week
5651,male,25-34,college diploma,once or twice in the past month
5652,female,45-54,less than high school diploma,2-3 times a week
5653,female,45-54,bachelor's degree ,once or twice in the past month
5654,female,35-44,bachelor's degree ,once or twice in the past month
5655,female,55-64,university diploma below bachelor's degree,never drink
5656,female,75&over,college diploma,once a week
5657,female,25-34,bachelor's degree ,once or twice in the past month
5658,male,55-64,high school diploma,everyday
5659,male,25-34,high school diploma,once or twice in the past month
5660,female,65-74,high school diploma,once or twice in the past month
5661,male,65-74,high school diploma,once a week
5662,female,55-64,university diploma above bachelor's degree,once or twice in the past month
5663,female,65-74,less than high school diploma,never drink
5664,female,35-44,bachelor's degree ,not in the past month
5665,male,35-44,trade certificate,everyday
5666,female,35-44,high school diploma,once a week
5667,female,35-44,university diploma above bachelor's degree,2-3 times a week
5668,female,65-74,college diploma,not in the past month
5669,male,15-24,high school diploma,once or twice in the past month
5670,male,45-54,college diploma,2-3 times a week
5671,male,25-34,university diploma above bachelor's degree,once a week
5672,male,15-24,high school diploma,once or twice in the past month
5673,male,25-34,high school diploma,everyday
5674,male,55-64,less than high school diploma,2-3 times a week
5675,male,45-54,not stated,once or twice in the past month
5676,male,25-34,high school diploma,not in the past month
5677,female,55-64,high school diploma,never drink
5678,female,15-24,less than high school diploma,never drink
5679,male,35-44,bachelor's degree ,4-6 times a week
5680,male,75&over,trade certificate,once or twice in the past month
5681,male,65-74,high school diploma,once or twice in the past month
5682,female,75&over,trade certificate,not in the past month
5683,male,75&over,bachelor's degree ,2-3 times a week
5684,female,35-44,college diploma,never drink
5685,female,45-54,trade certificate,not in the past month
5686,male,55-64,trade certificate,once a week
5687,female,65-74,university diploma above bachelor's degree,never drink
5688,female,55-64,college diploma,never drink
5689,female,15-24,high school diploma,2-3 times a week
5690,male,45-54,university diploma above bachelor's degree,never drink
5691,female,65-74,less than high school diploma,once or twice in the past month
5692,female,55-64,less than high school diploma,once or twice in the past month
5693,male,45-54,university diploma below bachelor's degree,2-3 times a week
5694,female,25-34,bachelor's degree ,once or twice in the past month
5695,female,25-34,high school diploma,once a week
5696,male,45-54,high school diploma,4-6 times a week
5697,male,35-44,university diploma above bachelor's degree,once a week
5698,female,25-34,college diploma,never drink
5699,male,45-54,college diploma,never drink
5700,female,75&over,less than high school diploma,not in the past month
5701,male,55-64,less than high school diploma,not in the past month
5702,female,45-54,bachelor's degree ,2-3 times a week
5703,female,65-74,high school diploma,2-3 times a week
5704,male,75&over,trade certificate,everyday
5705,male,55-64,bachelor's degree ,4-6 times a week
5706,male,55-64,trade certificate,once or twice in the past month
5707,female,15-24,college diploma,2-3 times a week
5708,female,75&over,less than high school diploma,not in the past month
5709,female,45-54,high school diploma,once a week
5710,male,35-44,college diploma,once a week
5711,male,35-44,high school diploma,2-3 times a week
5712,male,35-44,college diploma,not in the past month
5713,male,75&over,college diploma,not in the past month
5714,female,45-54,less than high school diploma,not in the past month
5715,male,45-54,college diploma,once or twice in the past month
5716,female,35-44,college diploma,everyday
5717,female,25-34,bachelor's degree ,once or twice in the past month
5718,female,45-54,college diploma,never drink
5719,female,65-74,high school diploma,not in the past month
5720,male,25-34,trade certificate,once or twice in the past month
5721,male,55-64,university diploma above bachelor's degree,never drink
5722,male,45-54,bachelor's degree ,everyday
5723,female,55-64,high school diploma,4-6 times a week
5724,female,25-34,bachelor's degree ,once or twice in the past month
5725,male,45-54,less than high school diploma,not in the past month
5726,male,75&over,less than high school diploma,never drink
5727,female,45-54,high school diploma,2-3 times a week
5728,female,15-24,less than high school diploma,once or twice in the past month
5729,male,35-44,high school diploma,2-3 times a week
5730,male,65-74,university diploma above bachelor's degree,once or twice in the past month
5731,male,25-34,university diploma below bachelor's degree,not in the past month
5732,male,35-44,college diploma,once or twice in the past month
5733,male,65-74,college diploma,2-3 times a week
5734,female,45-54,college diploma,once a week
5735,female,45-54,university diploma below bachelor's degree,once a week
5736,female,45-54,college diploma,4-6 times a week
5737,male,45-54,bachelor's degree ,once a week
5738,female,65-74,college diploma,once or twice in the past month
5739,female,25-34,college diploma,once or twice in the past month
5740,male,65-74,less than high school diploma,not in the past month
5741,male,65-74,less than high school diploma,2-3 times a week
5742,female,55-64,high school diploma,not in the past month
5743,female,25-34,high school diploma,not in the past month
5744,male,65-74,trade certificate,once or twice in the past month
5745,male,35-44,trade certificate,4-6 times a week
5746,female,25-34,high school diploma,once a week
5747,female,25-34,high school diploma,once or twice in the past month
5748,male,45-54,high school diploma,once a week
5749,female,45-54,less than high school diploma,once or twice in the past month
5750,male,65-74,bachelor's degree ,once a week
5751,male,15-24,high school diploma,once a week
5752,female,35-44,college diploma,once or twice in the past month
5753,male,75&over,bachelor's degree ,once or twice in the past month
5754,female,75&over,college diploma,once a week
5755,male,45-54,university diploma above bachelor's degree,once a week
5756,female,45-54,university diploma above bachelor's degree,4-6 times a week
5757,female,25-34,not stated,not in the past month
5758,female,55-64,university diploma above bachelor's degree,2-3 times a week
5759,male,35-44,university diploma above bachelor's degree,once a week
5760,male,25-34,high school diploma,2-3 times a week
5761,female,35-44,college diploma,once or twice in the past month
5762,female,65-74,bachelor's degree ,4-6 times a week
5763,female,45-54,university diploma above bachelor's degree,never drink
5764,female,55-64,high school diploma,not in the past month
5765,male,55-64,high school diploma,everyday
5766,female,65-74,bachelor's degree ,not in the past month
5767,female,55-64,high school diploma,never drink
5768,female,75&over,less than high school diploma,not in the past month
5769,female,65-74,high school diploma,not in the past month
5770,female,55-64,bachelor's degree ,once or twice in the past month
5771,male,45-54,high school diploma,once or twice in the past month
5772,male,25-34,high school diploma,once or twice in the past month
5773,female,55-64,bachelor's degree ,once a week
5774,male,55-64,college diploma,4-6 times a week
5775,female,35-44,bachelor's degree ,2-3 times a week
5776,male,25-34,bachelor's degree ,once a week
5777,female,55-64,college diploma,not in the past month
5778,female,75&over,college diploma,everyday
5779,female,55-64,college diploma,not in the past month
5780,male,55-64,college diploma,once or twice in the past month
5781,male,15-24,high school diploma,never drink
5782,female,55-64,less than high school diploma,2-3 times a week
5783,female,55-64,college diploma,once or twice in the past month
5784,female,55-64,bachelor's degree ,4-6 times a week
5785,female,55-64,university diploma below bachelor's degree,2-3 times a week
5786,female,35-44,college diploma,never drink
5787,male,15-24,bachelor's degree ,once a week
5788,female,45-54,university diploma below bachelor's degree,once or twice in the past month
5789,female,25-34,bachelor's degree ,once or twice in the past month
5790,female,75&over,college diploma,not in the past month
5791,male,25-34,bachelor's degree ,once or twice in the past month
5792,female,65-74,high school diploma,once or twice in the past month
5793,male,15-24,less than high school diploma,never drink
5794,male,55-64,trade certificate,2-3 times a week
5795,female,25-34,college diploma,once a week
5796,female,65-74,university diploma above bachelor's degree,once a week
5797,male,55-64,less than high school diploma,not in the past month
5798,female,45-54,high school diploma,2-3 times a week
5799,female,15-24,less than high school diploma,once or twice in the past month
5800,female,25-34,university diploma below bachelor's degree,once or twice in the past month
5801,male,45-54,high school diploma,once a week
5802,female,25-34,bachelor's degree ,not in the past month
5803,female,25-34,university diploma above bachelor's degree,not in the past month
5804,female,35-44,college diploma,2-3 times a week
5805,male,25-34,bachelor's degree ,everyday
5806,female,75&over,high school diploma,not in the past month
5807,female,65-74,high school diploma,once or twice in the past month
5808,male,45-54,college diploma,not in the past month
5809,female,75&over,high school diploma,never drink
5810,male,55-64,college diploma,once a week
5811,female,65-74,less than high school diploma,not in the past month
5812,female,75&over,high school diploma,not in the past month
5813,male,15-24,high school diploma,2-3 times a week
5814,male,25-34,bachelor's degree ,once or twice in the past month
5815,female,55-64,university diploma below bachelor's degree,2-3 times a week
5816,female,15-24,not stated,never drink
5817,male,35-44,college diploma,once or twice in the past month
5818,male,55-64,high school diploma,4-6 times a week
5819,female,25-34,university diploma below bachelor's degree,once or twice in the past month
5820,female,25-34,bachelor's degree ,never drink
5821,male,65-74,less than high school diploma,not in the past month
5822,female,65-74,less than high school diploma,not in the past month
5823,female,55-64,bachelor's degree ,4-6 times a week
5824,male,65-74,college diploma,never drink
5825,female,35-44,university diploma above bachelor's degree,once or twice in the past month
5826,female,65-74,university diploma below bachelor's degree,once or twice in the past month
5827,male,45-54,high school diploma,once or twice in the past month
5828,male,35-44,bachelor's degree ,once a week
5829,female,35-44,college diploma,not in the past month
5830,male,45-54,college diploma,once or twice in the past month
5831,female,75&over,college diploma,not in the past month
5832,male,45-54,trade certificate,once a week
5833,male,65-74,university diploma below bachelor's degree,everyday
5834,male,25-34,bachelor's degree ,once a week
5835,female,55-64,bachelor's degree ,once or twice in the past month
5836,female,55-64,high school diploma,everyday
5837,female,35-44,high school diploma,once a week
5838,female,55-64,college diploma,never drink
5839,female,35-44,university diploma below bachelor's degree,never drink
5840,male,25-34,bachelor's degree ,2-3 times a week
5841,male,45-54,university diploma above bachelor's degree,2-3 times a week
5842,female,55-64,university diploma above bachelor's degree,not in the past month
5843,female,75&over,less than high school diploma,not in the past month
5844,female,65-74,college diploma,once or twice in the past month
5845,male,65-74,trade certificate,2-3 times a week
5846,female,55-64,university diploma below bachelor's degree,once or twice in the past month
5847,female,45-54,bachelor's degree ,2-3 times a week
5848,female,15-24,high school diploma,once or twice in the past month
5849,female,55-64,high school diploma,once a week
5850,female,55-64,college diploma,not in the past month
5851,male,65-74,bachelor's degree ,once or twice in the past month
5852,female,45-54,high school diploma,never drink
5853,female,25-34,bachelor's degree ,once or twice in the past month
5854,male,65-74,university diploma above bachelor's degree,everyday
5855,female,55-64,bachelor's degree ,once a week
5856,male,55-64,less than high school diploma,not in the past month
5857,female,45-54,less than high school diploma,never drink
5858,female,55-64,high school diploma,once or twice in the past month
5859,male,45-54,college diploma,not in the past month
5860,female,65-74,college diploma,once a week
5861,female,75&over,college diploma,4-6 times a week
5862,female,45-54,high school diploma,once or twice in the past month
5863,female,25-34,trade certificate,4-6 times a week
5864,male,65-74,bachelor's degree ,never drink
5865,male,15-24,high school diploma,never drink
5866,male,55-64,high school diploma,2-3 times a week
5867,male,65-74,trade certificate,4-6 times a week
5868,female,65-74,high school diploma,once a week
5869,male,35-44,university diploma below bachelor's degree,once or twice in the past month
5870,male,55-64,high school diploma,once a week
5871,male,65-74,less than high school diploma,not in the past month
5872,male,35-44,high school diploma,everyday
5873,male,25-34,trade certificate,2-3 times a week
5874,male,55-64,high school diploma,never drink
5875,female,45-54,high school diploma,2-3 times a week
5876,female,45-54,high school diploma,never drink
5877,female,75&over,trade certificate,not in the past month
5878,female,45-54,college diploma,not in the past month
5879,female,15-24,bachelor's degree ,once a week
5880,female,25-34,bachelor's degree ,2-3 times a week
5881,male,45-54,high school diploma,not in the past month
5882,male,55-64,college diploma,once a week
5883,male,55-64,bachelor's degree ,once or twice in the past month
5884,male,45-54,high school diploma,once or twice in the past month
5885,male,75&over,bachelor's degree ,not in the past month
5886,male,35-44,university diploma above bachelor's degree,never drink
5887,male,75&over,trade certificate,4-6 times a week
5888,female,75&over,college diploma,once or twice in the past month
5889,female,55-64,trade certificate,once or twice in the past month
5890,female,65-74,bachelor's degree ,2-3 times a week
5891,female,35-44,bachelor's degree ,never drink
5892,male,45-54,bachelor's degree ,once or twice in the past month
5893,male,75&over,high school diploma,once or twice in the past month
5894,male,65-74,less than high school diploma,never drink
5895,female,65-74,high school diploma,once or twice in the past month
5896,female,75&over,high school diploma,2-3 times a week
5897,male,35-44,college diploma,not in the past month
5898,female,75&over,less than high school diploma,once a week
5899,female,25-34,bachelor's degree ,never drink
5900,female,65-74,university diploma below bachelor's degree,once a week
5901,male,65-74,university diploma above bachelor's degree,once a week
5902,male,35-44,don't know,once a week
5903,male,65-74,college diploma,everyday
5904,female,65-74,bachelor's degree ,not in the past month
5905,female,65-74,high school diploma,once or twice in the past month
5906,female,75&over,college diploma,not in the past month
5907,female,35-44,less than high school diploma,not in the past month
5908,male,65-74,high school diploma,2-3 times a week
5909,female,15-24,high school diploma,once or twice in the past month
5910,male,15-24,high school diploma,2-3 times a week
5911,female,55-64,less than high school diploma,never drink
5912,male,35-44,college diploma,never drink
5913,female,55-64,less than high school diploma,once or twice in the past month
5914,male,45-54,trade certificate,never drink
5915,male,35-44,college diploma,once or twice in the past month
5916,male,45-54,university diploma above bachelor's degree,4-6 times a week
5917,female,35-44,university diploma above bachelor's degree,never drink
5918,female,55-64,bachelor's degree ,once a week
5919,male,35-44,high school diploma,not in the past month
5920,male,25-34,bachelor's degree ,2-3 times a week
5921,male,45-54,high school diploma,once a week
5922,male,75&over,high school diploma,everyday
5923,male,75&over,high school diploma,once or twice in the past month
5924,male,35-44,high school diploma,once or twice in the past month
5925,male,45-54,bachelor's degree ,not in the past month
5926,male,65-74,university diploma above bachelor's degree,2-3 times a week
5927,male,65-74,trade certificate,once or twice in the past month
5928,female,65-74,college diploma,once or twice in the past month
5929,female,65-74,high school diploma,not in the past month
5930,male,65-74,high school diploma,once a week
5931,male,45-54,high school diploma,once or twice in the past month
5932,female,55-64,university diploma above bachelor's degree,never drink
5933,male,35-44,trade certificate,everyday
5934,female,65-74,high school diploma,once a week
5935,female,25-34,university diploma below bachelor's degree,once or twice in the past month
5936,male,25-34,bachelor's degree ,once or twice in the past month
5937,female,75&over,less than high school diploma,never drink
5938,female,25-34,college diploma,not in the past month
5939,female,15-24,trade certificate,not in the past month
5940,female,75&over,less than high school diploma,2-3 times a week
5941,male,55-64,university diploma above bachelor's degree,2-3 times a week
5942,male,35-44,bachelor's degree ,2-3 times a week
5943,female,55-64,university diploma above bachelor's degree,4-6 times a week
5944,female,15-24,less than high school diploma,never drink
5945,female,65-74,college diploma,once or twice in the past month
5946,female,55-64,high school diploma,never drink
5947,male,35-44,bachelor's degree ,not in the past month
5948,male,35-44,high school diploma,once a week
5949,female,75&over,high school diploma,never drink
5950,female,15-24,high school diploma,once a week
5951,female,45-54,high school diploma,not in the past month
5952,male,35-44,don't know,don't know
5953,female,45-54,bachelor's degree ,4-6 times a week
5954,male,55-64,less than high school diploma,2-3 times a week
5955,male,55-64,bachelor's degree ,2-3 times a week
5956,female,35-44,bachelor's degree ,never drink
5957,female,65-74,college diploma,once a week
5958,male,25-34,high school diploma,once or twice in the past month
5959,male,35-44,university diploma above bachelor's degree,once a week
5960,male,55-64,high school diploma,2-3 times a week
5961,female,15-24,less than high school diploma,never drink
5962,female,65-74,university diploma below bachelor's degree,not in the past month
5963,female,65-74,college diploma,once or twice in the past month
5964,male,55-64,high school diploma,once a week
5965,male,65-74,high school diploma,once or twice in the past month
5966,male,45-54,bachelor's degree ,4-6 times a week
5967,male,55-64,college diploma,once or twice in the past month
5968,male,75&over,high school diploma,2-3 times a week
5969,male,45-54,less than high school diploma,never drink
5970,male,25-34,less than high school diploma,2-3 times a week
5971,male,15-24,high school diploma,never drink
5972,male,55-64,college diploma,not in the past month
5973,female,45-54,university diploma below bachelor's degree,2-3 times a week
5974,female,45-54,high school diploma,2-3 times a week
5975,male,45-54,college diploma,once or twice in the past month
5976,female,75&over,high school diploma,never drink
5977,female,35-44,bachelor's degree ,once a week
5978,female,65-74,college diploma,2-3 times a week
5979,male,45-54,high school diploma,4-6 times a week
5980,female,25-34,university diploma above bachelor's degree,once a week
5981,male,25-34,university diploma above bachelor's degree,never drink
5982,male,15-24,less than high school diploma,everyday
5983,male,75&over,trade certificate,never drink
5984,male,45-54,less than high school diploma,not in the past month
5985,male,35-44,college diploma,once or twice in the past month
5986,female,45-54,bachelor's degree ,once or twice in the past month
5987,male,65-74,university diploma above bachelor's degree,2-3 times a week
5988,female,25-34,bachelor's degree ,not in the past month
5989,male,55-64,high school diploma,never drink
5990,male,15-24,high school diploma,never drink
5991,female,65-74,college diploma,2-3 times a week
5992,female,75&over,college diploma,once or twice in the past month
5993,female,65-74,university diploma below bachelor's degree,once or twice in the past month
5994,male,15-24,high school diploma,not in the past month
5995,female,55-64,high school diploma,once or twice in the past month
5996,male,65-74,trade certificate,4-6 times a week
5997,female,65-74,bachelor's degree ,never drink
5998,male,55-64,high school diploma,once a week
5999,female,25-34,university diploma below bachelor's degree,2-3 times a week
6000,male,15-24,not stated,never drink
6001,male,65-74,high school diploma,never drink
6002,female,45-54,college diploma,once or twice in the past month
6003,female,55-64,college diploma,2-3 times a week
6004,female,75&over,high school diploma,once a week
6005,male,35-44,college diploma,4-6 times a week
6006,male,55-64,high school diploma,once a week
6007,female,35-44,college diploma,once or twice in the past month
6008,male,35-44,high school diploma,once a week
6009,female,15-24,high school diploma,not in the past month
6010,male,45-54,university diploma below bachelor's degree,2-3 times a week
6011,male,15-24,high school diploma,never drink
6012,female,75&over,less than high school diploma,not in the past month
6013,female,55-64,bachelor's degree ,never drink
6014,male,45-54,trade certificate,never drink
6015,female,75&over,high school diploma,not in the past month
6016,female,65-74,college diploma,once or twice in the past month
6017,female,65-74,high school diploma,once a week
6018,female,55-64,trade certificate,once a week
6019,male,55-64,high school diploma,everyday
6020,male,75&over,bachelor's degree ,never drink
6021,female,25-34,college diploma,once or twice in the past month
6022,female,55-64,less than high school diploma,never drink
6023,female,35-44,high school diploma,once or twice in the past month
6024,male,25-34,trade certificate,4-6 times a week
6025,male,65-74,university diploma above bachelor's degree,everyday
6026,male,15-24,less than high school diploma,never drink
6027,female,65-74,college diploma,not in the past month
6028,male,35-44,college diploma,2-3 times a week
6029,female,45-54,high school diploma,everyday
6030,male,15-24,high school diploma,once a week
6031,female,35-44,college diploma,once or twice in the past month
6032,female,55-64,high school diploma,4-6 times a week
6033,female,25-34,university diploma above bachelor's degree,not in the past month
6034,female,55-64,college diploma,not in the past month
6035,female,65-74,less than high school diploma,never drink
6036,female,65-74,college diploma,4-6 times a week
6037,female,25-34,bachelor's degree ,once or twice in the past month
6038,male,75&over,trade certificate,4-6 times a week
6039,male,55-64,high school diploma,once a week
6040,female,35-44,bachelor's degree ,2-3 times a week
6041,male,35-44,trade certificate,once or twice in the past month
6042,female,65-74,college diploma,not in the past month
6043,male,45-54,bachelor's degree ,never drink
6044,female,35-44,college diploma,once or twice in the past month
6045,female,45-54,bachelor's degree ,not in the past month
6046,female,55-64,university diploma above bachelor's degree,once a week
6047,male,45-54,high school diploma,not in the past month
6048,female,35-44,less than high school diploma,once or twice in the past month
6049,female,35-44,college diploma,once or twice in the past month
6050,male,15-24,less than high school diploma,once or twice in the past month
6051,male,65-74,less than high school diploma,4-6 times a week
6052,male,25-34,college diploma,4-6 times a week
6053,female,45-54,high school diploma,once or twice in the past month
6054,male,55-64,less than high school diploma,never drink
6055,male,35-44,high school diploma,once or twice in the past month
6056,female,65-74,less than high school diploma,never drink
6057,female,55-64,college diploma,once a week
6058,male,65-74,college diploma,never drink
6059,male,15-24,less than high school diploma,never drink
6060,female,55-64,high school diploma,once or twice in the past month
6061,male,45-54,bachelor's degree ,2-3 times a week
6062,male,65-74,college diploma,not in the past month
6063,male,35-44,trade certificate,not in the past month
6064,male,65-74,bachelor's degree ,2-3 times a week
6065,male,75&over,less than high school diploma,not in the past month
6066,male,45-54,high school diploma,never drink
6067,female,15-24,bachelor's degree ,once or twice in the past month
6068,female,35-44,college diploma,once or twice in the past month
6069,male,35-44,bachelor's degree ,once a week
6070,female,55-64,college diploma,once a week
6071,male,55-64,trade certificate,once or twice in the past month
6072,female,65-74,college diploma,2-3 times a week
6073,male,45-54,high school diploma,once or twice in the past month
6074,female,35-44,college diploma,once a week
6075,female,65-74,college diploma,2-3 times a week
6076,male,35-44,less than high school diploma,once or twice in the past month
6077,female,35-44,bachelor's degree ,4-6 times a week
6078,male,35-44,university diploma above bachelor's degree,4-6 times a week
6079,male,45-54,less than high school diploma,never drink
6080,male,25-34,bachelor's degree ,once or twice in the past month
6081,female,35-44,bachelor's degree ,once or twice in the past month
6082,female,65-74,high school diploma,once or twice in the past month
6083,female,65-74,bachelor's degree ,never drink
6084,male,15-24,high school diploma,2-3 times a week
6085,male,65-74,university diploma above bachelor's degree,never drink
6086,female,75&over,less than high school diploma,2-3 times a week
6087,female,45-54,college diploma,never drink
6088,male,55-64,bachelor's degree ,not in the past month
6089,male,55-64,university diploma below bachelor's degree,4-6 times a week
6090,male,35-44,bachelor's degree ,4-6 times a week
6091,male,35-44,bachelor's degree ,once or twice in the past month
6092,female,65-74,high school diploma,4-6 times a week
6093,female,65-74,university diploma above bachelor's degree,not in the past month
6094,male,15-24,college diploma,2-3 times a week
6095,male,65-74,university diploma above bachelor's degree,everyday
6096,male,55-64,trade certificate,2-3 times a week
6097,female,65-74,high school diploma,2-3 times a week
6098,male,45-54,college diploma,once a week
6099,male,35-44,bachelor's degree ,once or twice in the past month
6100,male,55-64,college diploma,once a week
6101,female,55-64,high school diploma,once or twice in the past month
6102,male,65-74,high school diploma,everyday
6103,male,35-44,university diploma above bachelor's degree,2-3 times a week
6104,male,65-74,college diploma,2-3 times a week
6105,female,75&over,less than high school diploma,once or twice in the past month
6106,male,25-34,not stated,once or twice in the past month
6107,male,25-34,university diploma below bachelor's degree,once or twice in the past month
6108,female,35-44,bachelor's degree ,once or twice in the past month
6109,male,25-34,less than high school diploma,never drink
6110,male,25-34,less than high school diploma,once or twice in the past month
6111,male,35-44,university diploma below bachelor's degree,once or twice in the past month
6112,female,15-24,university diploma below bachelor's degree,2-3 times a week
6113,female,15-24,bachelor's degree ,once or twice in the past month
6114,female,35-44,college diploma,everyday
6115,female,75&over,less than high school diploma,once or twice in the past month
6116,female,15-24,don't know,don't know
6117,male,55-64,bachelor's degree ,once a week
6118,female,65-74,college diploma,not in the past month
6119,male,65-74,bachelor's degree ,once a week
6120,male,55-64,high school diploma,once a week
6121,male,75&over,less than high school diploma,everyday
6122,male,15-24,less than high school diploma,not in the past month
6123,male,35-44,bachelor's degree ,never drink
6124,female,75&over,bachelor's degree ,everyday
6125,female,55-64,high school diploma,2-3 times a week
6126,female,55-64,high school diploma,once or twice in the past month
6127,male,65-74,high school diploma,once or twice in the past month
6128,female,25-34,bachelor's degree ,once a week
6129,female,65-74,less than high school diploma,never drink
6130,male,65-74,college diploma,everyday
6131,female,35-44,bachelor's degree ,2-3 times a week
6132,male,75&over,high school diploma,2-3 times a week
6133,female,45-54,university diploma below bachelor's degree,not in the past month
6134,female,15-24,less than high school diploma,never drink
6135,female,55-64,university diploma below bachelor's degree,never drink
6136,female,55-64,bachelor's degree ,once or twice in the past month
6137,female,35-44,bachelor's degree ,once a week
6138,male,75&over,university diploma below bachelor's degree,once or twice in the past month
6139,male,25-34,college diploma,once a week
6140,female,25-34,trade certificate,once or twice in the past month
6141,female,55-64,university diploma above bachelor's degree,once or twice in the past month
6142,male,25-34,bachelor's degree ,once or twice in the past month
6143,male,65-74,less than high school diploma,not in the past month
6144,male,55-64,high school diploma,not in the past month
6145,male,25-34,high school diploma,never drink
6146,female,45-54,college diploma,once or twice in the past month
6147,female,25-34,university diploma below bachelor's degree,never drink
6148,female,55-64,less than high school diploma,everyday
6149,male,55-64,high school diploma,not in the past month
6150,female,55-64,high school diploma,once a week
6151,male,75&over,high school diploma,not in the past month
6152,female,35-44,university diploma below bachelor's degree,2-3 times a week
6153,female,45-54,bachelor's degree ,4-6 times a week
6154,male,55-64,high school diploma,not in the past month
6155,male,15-24,high school diploma,2-3 times a week
6156,male,45-54,less than high school diploma,not in the past month
6157,female,45-54,high school diploma,once a week
6158,female,25-34,high school diploma,never drink
6159,female,55-64,less than high school diploma,not in the past month
6160,female,65-74,college diploma,not in the past month
6161,male,75&over,high school diploma,once or twice in the past month
6162,female,65-74,bachelor's degree ,once or twice in the past month
6163,male,75&over,high school diploma,2-3 times a week
6164,female,55-64,high school diploma,2-3 times a week
6165,male,15-24,high school diploma,once or twice in the past month
6166,female,45-54,bachelor's degree ,once a week
6167,female,25-34,university diploma above bachelor's degree,never drink
6168,male,75&over,trade certificate,once or twice in the past month
6169,female,55-64,bachelor's degree ,once or twice in the past month
6170,male,55-64,trade certificate,never drink
6171,female,25-34,bachelor's degree ,once or twice in the past month
6172,male,65-74,university diploma above bachelor's degree,4-6 times a week
6173,female,55-64,college diploma,not in the past month
6174,female,35-44,college diploma,2-3 times a week
6175,female,15-24,high school diploma,not in the past month
6176,female,75&over,bachelor's degree ,not in the past month
6177,male,35-44,bachelor's degree ,once or twice in the past month
6178,male,35-44,less than high school diploma,once a week
6179,male,45-54,college diploma,4-6 times a week
6180,male,75&over,less than high school diploma,not in the past month
